"Inventarnummer","Joins","Image-link","Publikation","CTH","Fundort","Zeit","TLHdig","Anmerkungen"
"633/b",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=633%2Fb)","KBo 39.216","295.6 | 295 (javascript:inf('../CTH/cthfix.php?c=295','CTH'))","Bk. A:  grosses Gebäude, Raum 4, T.-Schutt, nördl. Hälfte","mh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 39.216)","Joinvorschlag J.L. Miller (17.2.2019);  ↂ Joinvorschlag J.L. Miller (17.2.2019); vgl. G.M. Beckman, StBoT 29, 1983, 110; S. de Martino, FsPugliese Carratelli, 1988, 63; id., Eothen 18, 2011, 80; J. Boley, IBS 97, 2000, 137, D. Groddek, DBH 11, 2004, 274."
"633/b","(+)2124/c","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=2124%2Fc)","KBo 16.59 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=16&n=59)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Gr. Gebäude, Raum 5, Nordende, Tabl.-Schutt.","mh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 16.59)","."
"661/b",".","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=661%2Fb)","KUB 34.45","295.5 | 295 (javascript:inf('../CTH/cthfix.php?c=295','CTH'))","Bk. A:  grosses Gebäude, Raum 4, T.-Schutt, nördl. Hälfte","mh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 34.45)","ↂ  vgl. A. Kammenhuber, FsGüterbock, 1974, 155; L.M. Mascheroni, FsPintore, 1983, 124; J. Klinger, 2. IKH, 1995, 240; S. Alaura, OLZ 94, 1999, 492f.; J. Boley, IBS 97, 2000, 177; R. Arnott, Disease, 2002, 48; H.A. Hoffner, FsPopko, 2002, 168; D. Crasso, Kaskal 2, 2005, 150 Anm. 28; M. Marizza, SMEA 48, 2006, 158; id., Eothen 15, 2007, 74; E. Rieken, GsNeu, 2010, 224; S. de Martino, Eothen 18, 2011, 49, 75; C. Brosch, Topoi 20, 2014, 97, 164, 316."
"661/b","+2549/c","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=2549%2Fc)","KBo 16.63 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=16&n=63)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Gr. Geb., Raum 6, Nordteil, Tabl.-Schutt","mh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 16.63)","."
"661/b","+2614/c","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=2614%2Fc)","KBo 16.63 |  (https://www.hethport.uni-wuerzburg.de/hetkonk/kbopraep.php?p=KBo&b=16&n=63)",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Gr. Geb., Raum 6, Nordteil, Tabl.-Schutt","mh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KBo 16.63)","."
"758/b",". |  (https://www.hethport.uni-wuerzburg.de/hetskiz/sk.php?f=758/b)","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=758%2Fb); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=758%2Fb)","KUB 29.23","292.I.b.B | 292 (javascript:inf('../CTH/cthfix.php?c=292','CTH'))","Bk. A:  grosses Gebäude, Raum 4, T.-Schutt, nördl. Hälfte","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.23)","s. H.A. Hoffner, Laws, 1997 (Sigel b);  ↂ s. H.A. Hoffner, Laws, 1997 (Sigel b); vgl. Th. van den Hout, IBS 100, 2001, 175f.; E. Rieken, -apa, 2004, 249; I. Yakubovich, Luvian, 2010, 365 (verschrieben als KBo 29.21); P. Goedegebuure, StBoT 55, 2014, 349, 474f.; S. Çilingir Cesur. Ritüel, 2020, 195. | KBo 29.21 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KBo 29.21)"
"758/b","+1023/c","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1023%2Fc)","KUB 29.21",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Gr. Geb., Raum 6, nördl. der Mitte, Tabl.-Schutt","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.21)","."
"758/b","+1027/c","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=1027%2Fc)","KUB 29.21",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Gr. Geb., Raum 6, nördl. der Mitte, Tabl.-Schutt","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.21)","."
"758/b","+404/d","|  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=404%2Fd)","KUB 29.22",". | . (javascript:inf('../CTH/cthfix.php?c=<font color='PapayaWhip'>.</font>','CTH'))","Bk. A:  Büyükkale. Westl. außerh. d. Nordteils v. Raum 6 des Magazingeb., obere Lage d. Tabl.-Schutts. - rot mit schwarzen Flecken","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.22)","."
"266/c",".","3D |  (https://www.hethport.uni-wuerzburg.de/hetkonk/bildpraep.php?fundnr=266%2Fc); 3D (https://www.hethport.uni-wuerzburg.de/hetkonk/3dprp.php?p=266%2Fc)","KUB 29.19","291.II.a | 291 (javascript:inf('../CTH/cthfix.php?c=291','CTH'))","Bk. A:  Gr. Geb., Raum 5, längs der Südhälfte der Ostwand, im Tablettenschutt.","jh.","|  (https://www.hethport.uni-wuerzburg.de/TLHdig/tlh_xtx.php?d=KUB 29.19)","G. Torri und L. Warbinek (16.07.2025) einem Vorschlag Güterbock, JCS 16 (1962), 17 folgend schlagen einen indirekten Join mit KUB 29.14+ vor; s. H.A. Hoffner, Laws, 1997 (Sigel P). ↂ s. H.A. Hoffner, Laws, 1997 (Sigel P). | KUB 29.14 (https://www.hethport.uni-wuerzburg.de/hetkonk/hetkonk_abfrage.php?p=KUB 29.14)"
